Bank,USD buying rate,USD selling rate,Euro buying rate,Euro selling rate,Update time
Юнистрим,94.75,97,98,102,22.10.2023 15:16
Совкомбанк,91.5,99.5,97.1,105.1,20.10.2023 20:46
Bank,USD buying rate,USD selling rate,Euro buying rate,Euro selling rate,Update time
Банк «Открытие»,94.5,98,100.2,104.5,22.10.2023 15:28
Альфа-Банк,91.5,96.5,97,102,22.10.2023 15:19
Банк ВТБ,92.65,97.65,97.55,103.25,22.10.2023 15:16
Россельхозбанк,90.9,96.5,96.5,102.7,22.10.2023 15:16
Росбанк,88.6,98.8,93.7,104.8,22.10.2023 15:16
Банк ДОМ.РФ,96.5,104.5,100.1,110.1,22.10.2023 15:16
СМП Банк,95.29,100.29,100.59,105.59,22.10.2023 15:16
МТС Банк,83.56,107.44,88.37,113.63,22.10.2023 15:16
ОТП Банк,86,96,91.5,101.5,22.10.2023 15:16
БКС Банк,95.2,96.59,100.8,102.39,22.10.2023 15:16
Банк Финсервис,95.6,97,101,102.8,22.10.2023 15:27
СберБанк,93,99.8,99.4,104.4,22.10.2023 15:16
Газпромбанк,92.7,96.9,98.4,102.6,22.10.2023 15:16
Райффайзенбанк,85.9,94.6,90.9,102.1,22.10.2023 15:16
Тинькофф Банк,85.75,100.2,90.75,106.05,22.10.2023 15:16
Банк «Санкт-Петербург»,94.95,96.95,100.3,102.3,22.10.2023 15:16
Банк Уралсиб,91.16,99.35,96.55,105.71,22.10.2023 15:16
Русский Стандарт,94,99,95.5,103,22.10.2023 15:16
Банк Интеза,82,98,89,105,22.10.2023 15:16
Пойдем!,93.25,97.25,97.5,102.5,22.10.2023 15:16
Bank,USD buying rate,USD selling rate,Euro buying rate,Euro selling rate,Update time
Юнистрим,94.75,97,98,102,22.10.2023 15:16
Совкомбанк,91.5,99.5,97.1,105.1,20.10.2023 20:46
Bank,USD buying rate,USD selling rate,Euro buying rate,Euro selling rate,Update time
Банк «Открытие»,94.5,98,100.2,104.5,22.10.2023 15:28
Альфа-Банк,91.5,96.5,97,102,22.10.2023 15:19
Банк ВТБ,92.65,97.65,97.55,103.25,22.10.2023 15:16
Россельхозбанк,90.9,96.5,96.5,102.7,22.10.2023 15:16
Росбанк,88.6,98.8,93.7,104.8,22.10.2023 15:16
Банк ДОМ.РФ,96.5,104.5,100.1,110.1,22.10.2023 15:16
СМП Банк,95.29,100.29,100.59,105.59,22.10.2023 15:16
МТС Банк,83.56,107.44,88.37,113.63,22.10.2023 15:16
ОТП Банк,86,96,91.5,101.5,22.10.2023 15:16
БКС Банк,95.2,96.59,100.8,102.39,22.10.2023 15:16
Банк Финсервис,95.6,97,101,102.8,22.10.2023 15:27
СберБанк,93,99.8,99.4,104.4,22.10.2023 15:16
Газпромбанк,92.7,96.9,98.4,102.6,22.10.2023 15:16
Райффайзенбанк,85.9,94.6,90.9,102.1,22.10.2023 15:16
Тинькофф Банк,85.75,100.2,90.75,106.05,22.10.2023 15:16
Банк «Санкт-Петербург»,94.95,96.95,100.3,102.3,22.10.2023 15:16
Банк Уралсиб,91.16,99.35,96.55,105.71,22.10.2023 15:16
Русский Стандарт,94,99,95.5,103,22.10.2023 15:16
Банк Интеза,82,98,89,105,22.10.2023 15:16
Пойдем!,93.25,97.25,97.5,102.5,22.10.2023 15:16
Bank,USD buying rate,USD selling rate,Euro buying rate,Euro selling rate,Update time
Юнистрим,94.75,97,98,102,22.10.2023 15:16
Совкомбанк,91.5,99.5,97.1,105.1,20.10.2023 20:46
